Date,Title,Artist
05/10/1986,Les Démons de minuit,Images
12/10/1986,Les Démons de minuit,Images
19/10/1986,Holiday Rap,Mc Miker G et DJ Sven
26/10/1986,Holiday Rap,Mc Miker G et DJ Sven
02/11/1986,Ève lève-toi,Julie Pietri
09/11/1986,The Final Countdown,Europe
16/11/1986,The Final Countdown,Europe
23/11/1986,The Final Countdown,Europe
30/11/1986,The Final Countdown,Europe
07/12/1986,The Final Countdown,Europe
14/12/1986,The Final Countdown,Europe
21/12/1986,The Final Countdown,Europe
28/12/1986,The Final Countdown,Europe
04/01/1987,T'en va pas,Elsa
11/01/1987,T'en va pas,Elsa
18/01/1987,T'en va pas,Elsa
25/01/1987,T'en va pas,Elsa
01/02/1987,T'en va pas,Elsa
08/02/1987,T'en va pas,Elsa
15/02/1987,T'en va pas,Elsa
22/02/1987,T'en va pas,Elsa
01/03/1987,On se retrouvera (B.O. Le Passage),Francis Lalanne
08/03/1987,On se retrouvera (B.O. Le Passage),Francis Lalanne
15/03/1987,On se retrouvera (B.O. Le Passage),Francis Lalanne
22/03/1987,On se retrouvera (B.O. Le Passage),Francis Lalanne
29/03/1987,On se retrouvera (B.O. Le Passage),Francis Lalanne
05/04/1987,On se retrouvera (B.O. Le Passage),Francis Lalanne
12/04/1987,Viens boire un p'tit coup à la maison,Licence IV
19/04/1987,Viens boire un p'tit coup à la maison,Licence IV
26/04/1987,Viens boire un p'tit coup à la maison,Licence IV
03/05/1987,Viens boire un p'tit coup à la maison,Licence IV
10/05/1987,Viens boire un p'tit coup à la maison,Licence IV
17/05/1987,Viens boire un p'tit coup à la maison,Licence IV
24/05/1987,Viens boire un p'tit coup à la maison,Licence IV
31/05/1987,Viens boire un p'tit coup à la maison,Licence IV
07/06/1987,Viens boire un p'tit coup à la maison,Licence IV
14/06/1987,Viens boire un p'tit coup à la maison,Licence IV
21/06/1987,Viens boire un p'tit coup à la maison,Licence IV
28/06/1987,Viens boire un p'tit coup à la maison,Licence IV
05/07/1987,Viens boire un p'tit coup à la maison,Licence IV
12/07/1987,La Isla Bonita,Madonna
19/07/1987,La Isla Bonita,Madonna
26/07/1987,La Isla Bonita,Madonna
02/08/1987,Joe le taxi,Vanessa Paradis
09/08/1987,Joe le taxi,Vanessa Paradis
16/08/1987,Joe le taxi,Vanessa Paradis
23/08/1987,Joe le taxi,Vanessa Paradis
30/08/1987,Joe le taxi,Vanessa Paradis
06/09/1987,Joe le taxi,Vanessa Paradis
13/09/1987,Joe le taxi,Vanessa Paradis
20/09/1987,Joe le taxi,Vanessa Paradis
27/09/1987,Joe le taxi,Vanessa Paradis
04/10/1987,Joe le taxi,Vanessa Paradis
11/10/1987,Joe le taxi,Vanessa Paradis
18/10/1987,La bamba,Los Lobos
25/10/1987,La bamba,Los Lobos
01/11/1987,La bamba,Los Lobos
08/11/1987,La bamba,Los Lobos
15/11/1987,La bamba,Los Lobos
